fecha;autor;tweet
2021-02-18 17:34:36;Gomonre1;Bien mi querida candidata @danielapenaloza vamos q se puede. Cuente con todo nuestro apoyo de la fundación… https://t.co/W9i6RAhkJP
2021-02-18 16:48:19;wacochile;@LavinJoaquin @danielapenaloza Mal @LavinJoaquin , Ud se equivoca cuando trata de imponer a una persona en la Alcal… https://t.co/kt2EEN8U5u
2021-02-18 14:01:27;PedroPeterone;@danielapenaloza @itziarxita @LavinJoaquin No veo repartiendo propaganda a Jorge Romo.
2021-02-18 13:49:40;omartordesilla;@danielapenaloza @LavinJoaquin Una dupla ganadora @danielapenaloza y @LavinJoaquin
2021-02-18 13:08:05;tirarrazaval;Para quienes vivan en Las Condes, les presento a @danielapenaloza, a quien conozco desde la universidad trabajando… https://t.co/jWnUnXU9gd
2021-02-18 00:56:15;SantiagoIgnacio;@danielapenaloza @CorpLasCondes @LavinJoaquin Porque una corporación municipal está haciendo proselitismo politico… https://t.co/V9PiYnCvvQ
2021-02-17 21:45:29;ragochile;"@LavinJoaquin @danielapenaloza ¿Discípula de Lavin?
No. Gracias por participar."
2021-02-17 21:35:11;monseperezcalaf;"@LavinJoaquin @danielapenaloza Alcalde y qué pasó con la vacuna?
No dijo que había stock suficiente?  Si había stoc… https://t.co/nV2oZhx7gq"
2021-02-17 21:03:34;dpibanez83;@LavinJoaquin @danielapenaloza Alcalde @Marisolide  sigue esperando su llamado, grave accidente con la empresa lime… https://t.co/sBBp7VxfXx
2021-02-17 21:03:10;marticcf;@LavinJoaquin @danielapenaloza Terminen las ciclovías prometidas. 😉
2021-02-17 21:01:42;LavinJoaquin;Grande futura alcaldesa @danielapenaloza! Te irá muy bien. Comparto por acá lo q veo en ti. Preparada, inteligente,… https://t.co/dIsp3Di5Nk
2021-02-17 19:01:50;mpecori;@1CCValdivia @danielapenaloza Seguida, que siga de vuelta. Gracias
2021-02-17 16:41:44;Krgob;@danielapenaloza buenas tardes, quería saber su opinión sobre el proyecto de remodelación del estadio San Carlos de… https://t.co/M66HN9ZiVi
2021-02-17 14:53:53;Florencilla53;@1CCValdivia @danielapenaloza 🙋‍♀️ Seguida 🌷🌷🍀
2021-02-17 14:49:27;1CCValdivia;"Les presento a @danielapenaloza Candidata Alcalde por la comuna de #LaCondes #ChileVamos 

Apoyemos los nuevos rost… https://t.co/BDLB6yVGRc"
2021-02-17 13:47:19;TEO47992933;@danielapenaloza @Marcela_DiazC Por acá en la Carrera con Gonzalo ... palabra que vale !
2021-02-17 13:00:44;nicolorcaRN;@danielapenaloza @LavinJoaquin Serás una gran alcaldesa @danielapenaloza 😍 vamos con todo💪🏼💪🏼
2021-02-17 11:28:38;libreyalocada;@catralapulido @danielapenaloza @IavinJoaquin Anda a ayudar a tu hijo jalera. Y así evitas que le ande pegando q má… https://t.co/DyfTql3Eiq
2021-02-16 21:57:00;rocioea;@carreragonzalo Copiando la frase de la candidata @danielapenaloza ???
2021-02-14 01:45:43;rocioea;@danielapenaloza Que suerte los vecinos de las condes de tener esta futura alcaldesa!!!
2021-02-13 23:53:46;JParraveas;@LavinJoaquin @CesarTu1 @danielapenaloza @catalinaparot Cree ud. Que lograra hacer eso muy dificil como va esto .
2021-02-13 17:10:07;nicolorcaRN;@danielapenaloza Tremenda mi futura alcaldesa @danielapenaloza !
2021-02-13 15:04:38;omartordesilla;@danielapenaloza Es competente, es solidaria, ha trabajado con los vecinos, es la próxima alcaldesa @danielapenaloza
2021-02-12 21:52:41;juanfcoreyes;@omartordesilla @vasco_moulian_ @LavinJoaquin @gonzalomuller @rearellano @ErnestoSilvaM @danielapenaloza Lo más grande!!!! 👏👏👏
2021-02-12 20:33:01;omartordesilla;@vasco_moulian_ @juanfcoreyes @LavinJoaquin @gonzalomuller @rearellano @ErnestoSilvaM Que tremenda @danielapenaloza éxito.
2021-02-12 18:30:27;luishadad;Junto a @danielapenaloza  visitando a nuestros vecinos de @Muni_LasCondes  #hadadconcejal #energiajoven https://t.co/DvutXLoNu3
2021-02-12 13:23:37;JavierA69547715;@catralapulido @danielapenaloza @IavinJoaquin Dedícate a cuidar a tu hijo el jalero mejor, weona enferma.
2021-02-11 23:51:15;Benja_mateo1;@LavinJoaquin @danielapenaloza @catalinaparot no gracias, mi familia y yo votaremos por otra opción.
